candidate_id,relevance,title,note
CAND_0000031,2,Recommendation Systems Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000001,1,Backend Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000006,1,Business Analyst,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000010,1,Data Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000011,1,QA Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000014,1,Frontend Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000015,1,Software Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000018,1,Frontend Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000019,1,Project Manager,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000021,1,Project Manager,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000023,1,Software Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000025,1,Frontend Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000027,1,DevOps Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000029,1,Business Analyst,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000032,1,.NET Developer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000034,1,Business Analyst,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000035,1,Full Stack Developer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000036,1,Project Manager,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000037,1,Business Analyst,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000038,1,Java Developer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000043,1,Cloud Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000044,1,Frontend Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000045,1,Project Manager,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000047,1,Project Manager,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000048,1,Mobile Developer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000050,1,Business Analyst,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000002,0,Operations Manager,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000003,0,Customer Support,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000004,0,Marketing Manager,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000005,0,Accountant,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000007,0,Civil Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000008,0,Operations Manager,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000009,0,Mechanical Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000012,0,Operations Manager,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000013,0,Civil Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000016,0,Accountant,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000017,0,Accountant,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000020,0,Mechanical Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000022,0,Mechanical Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000024,0,HR Manager,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000026,0,Graphic Designer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000028,0,Operations Manager,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000030,0,Marketing Manager,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000033,0,Graphic Designer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000039,0,Marketing Manager,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000040,0,Customer Support,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000041,0,Operations Manager,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000042,0,HR Manager,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000046,0,Mechanical Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
CAND_0000049,0,Mechanical Engineer,auto-labelled via title heuristic (REVIEW MANUALLY)
